id;code;name;br_number;is_active
1;Isle;benchmark;Loan payment;true
2;backing interface;withdrawal;Representative;true
3;orchid;Handcrafted Metal Berkshire;backing drive Steel;true
4;explicit;Steel JBOD Greece;Rubber Central standardization;true
5;SCSI;Tuna architecture Awesome;standardization Borders Awesome;true
6;relationships monetize next-generation;virtual Concrete;HTTP;true
7;generating vortals;application protocol;Bacon architectures;true
8;generating Bedfordshire;Computer;quantify;false
9;Bolivia;Fantastic AI;Azerbaijanian plug-and-play firewall;false
10;bandwidth structure payment;eco-centric Borders;Pants;true
