id;item_price;item_cost;banner_text;special_price;is_active;min_qty;max_qty;steps;long_description;lead_time;reorder_qty;item_barcode
1;50449;97726;convergence;29936;false;20839;92890;46770;Global;87405;30728;extend Bedfordshire
2;16405;65763;deposit Director;49065;true;57320;62445;78619;integrated Concrete;30317;74546;Sausages Credit
3;17706;58187;Avon;1643;true;39691;71953;52185;Metal;2865;46595;Pizza District intermediate
4;27787;3682;impactful Wall;22868;false;96170;68685;62480;Shirt out-of-the-box Triple-buffered;38716;16304;Keyboard Generic IB
5;56364;62505;Locks ivory;95613;false;84899;79965;27491;program RSS;63160;36749;Concrete directional applications
6;77110;29988;expedite;41217;false;25215;21892;11457;Supervisor Loan;46753;76389;compress
7;63225;66465;monitor Grass-roots fuchsia;33162;false;70263;72966;44313;Inlet Towels;25842;62523;Ergonomic
8;22310;88688;Won Chips functionalities;35746;true;77109;18945;54100;Auto;63158;88102;Avon
9;60454;11544;Illinois;30708;true;62073;20740;91974;Computers HTTP Intelligent;89758;69682;Usability hacking Operations
10;16338;71383;Buckinghamshire forecast;2864;false;3938;35369;65334;Concrete;48400;11218;best-of-breed redundant Tugrik
