id;code;city;country;country_code;lat;lon;is_active
1;Secured Program;Marietta;Saint Vincent and the Grenadines;NF;73788;22113;true
2;algorithm magnetic;Christiansenmouth;Greenland;LU;19103;5581;true
3;Berkshire;Predovichaven;Mexico;WS;13929;91454;true
4;Sports explicit Legacy;Lake Desiree;Seychelles;SC;28874;88976;false
5;Bike Representative;North Joanieburgh;Sri Lanka;EH;61;90908;true
6;pink;Port Savannahstad;Cambodia;DE;20376;52662;true
7;SAS SDD 17(E.U.A.-17);Lake Tylermouth;Malawi;LY;96713;61488;false
8;Pizza;Lake Dedrick;Georgia;IS;32239;48604;true
9;Illinois Fresh;Port Katharina;Algeria;LS;5587;40893;false
10;invoice;Lake Ubaldoborough;Senegal;IT;68352;53704;true
