id;code;name;description;is_active
1;online Soft Electronics;grid-enabled Cambridgeshire;Colorado Object-based;false
2;Plaza Alabama Incredible;ADP;cyan;false
3;multi-byte Web Iran;Harbors;one-to-one;false
4;mobile Innovative program;protocol;cyan Analyst;false
5;Paradigm Latvia Producer;Alabama UAE Awesome;withdrawal Sausages actuating;true
6;Director platforms;RSS Djibouti;Gambia copy Market;false
7;calculate Investor;Avon;synthesizing connecting;false
8;Grocery Rustic;Small capacity;Web;true
9;Oval Fresh;Central;invoice;false
10;Loan;Roads;markets PCI Intelligent;false
